Subcategory,Year,Aid Category,Derived Unit,Restrict,student level (group),year comp,Years to Display,Category,Enroll,Stdnt Lvl,student level,Average Amount,Percent of Financial Aid,Percent of Students Awarded,Recipients,Total Amount Awarded
SOC,2017-18,All Aid,UW-Madison,True,Undergraduate,True,2017,Students of Color,5772,1,1,$21K,18%,68%,"3,937",$84M
Non-SOC,2017-18,All Aid,UW-Madison,True,Undergraduate,True,2017,Students of Color,29437,1,1,$13K,40%,49%,"14,277",$184M
SOC,2018-19,All Aid,UW-Stout,True,Graduate,True,2018,Students of Color,179,3,3,$13K,2%,48%,86,$1M
Non-SOC,2018-19,All Aid,UW-Stout,True,Graduate,True,2018,Students of Color,1480,3,3,$11K,8%,35%,515,$5M
SOC,2018-19,All Aid,UW-Stout,True,Undergraduate,True,2018,Students of Color,956,1,1,$12K,14%,80%,766,$9M
Non-SOC,2018-19,All Aid,UW-Stout,True,Undergraduate,True,2018,Students of Color,7495,1,1,$10K,76%,68%,"5,072",$50M
SOC,2015-16,All Aid,UW-Madison,True,Graduate,True,2015,Students of Color,1698,3,3,$23K,8%,86%,"1,455",$34M
Non-SOC,2015-16,All Aid,UW-Madison,True,Graduate,True,2015,Students of Color,10821,3,3,$20K,38%,79%,"8,533",$168M
SOC,2015-16,All Aid,UW-Madison,True,Undergraduate,True,2015,Students of Color,5258,1,1,$20K,16%,68%,"3,597",$70M
Non-SOC,2015-16,All Aid,UW-Madison,True,Undergraduate,True,2015,Students of Color,28872,1,1,$12K,39%,51%,"14,598",$173M
SOC,2017-18,All Aid,UW-Green Bay,True,Graduate,True,2017,Students of Color,71,3,3,$15K,1%,54%,38,$1M
Non-SOC,2017-18,All Aid,UW-Green Bay,True,Graduate,True,2017,Students of Color,488,3,3,$12K,5%,42%,206,$3M
SOC,2017-18,All Aid,UW-Green Bay,True,Undergraduate,True,2017,Students of Color,1097,1,1,$12K,18%,69%,752,$9M
Non-SOC,2017-18,All Aid,UW-Green Bay,True,Undergraduate,True,2017,Students of Color,6889,1,1,$10K,76%,55%,"3,817",$38M
SOC,2016-17,All Aid,UW-Whitewater,True,Graduate,True,2016,Students of Color,198,3,3,$17K,2%,60%,119,$2M
Non-SOC,2016-17,All Aid,UW-Whitewater,True,Graduate,True,2016,Students of Color,1436,3,3,$13K,6%,37%,529,$7M
SOC,2016-17,All Aid,UW-Whitewater,True,Undergraduate,True,2016,Students of Color,2125,1,1,$13K,21%,78%,"1,664",$21M
Non-SOC,2016-17,All Aid,UW-Whitewater,True,Undergraduate,True,2016,Students of Color,10713,1,1,$10K,71%,66%,"7,085",$73M
SOC,2017-18,All Aid,UW-Stevens Point,True,Graduate,True,2017,Students of Color,22,3,3,$12K,0%,68%,15,$0M
Non-SOC,2017-18,All Aid,UW-Stevens Point,True,Graduate,True,2017,Students of Color,494,3,3,$8K,3%,66%,325,$2M
SOC,2017-18,All Aid,UW-Stevens Point,True,Undergraduate,True,2017,Students of Color,1014,1,1,$12K,16%,88%,891,$11M
Non-SOC,2017-18,All Aid,UW-Stevens Point,True,Undergraduate,True,2017,Students of Color,7621,1,1,$10K,81%,79%,"5,998",$57M
SOC,2017-18,All Aid,UW-Whitewater,True,Graduate,True,2017,Students of Color,241,3,3,$16K,2%,59%,141,$2M
Non-SOC,2017-18,All Aid,UW-Whitewater,True,Graduate,True,2017,Students of Color,1484,3,3,$12K,6%,34%,499,$6M
SOC,2017-18,All Aid,UW-Whitewater,True,Undergraduate,True,2017,Students of Color,2097,1,1,$13K,21%,80%,"1,668",$21M
Non-SOC,2017-18,All Aid,UW-Whitewater,True,Undergraduate,True,2017,Students of Color,10391,1,1,$10K,71%,66%,"6,870",$71M
SOC,2016-17,All Aid,UW-La Crosse,True,Graduate,True,2016,Students of Color,77,3,3,$16K,1%,51%,39,$1M
Non-SOC,2016-17,All Aid,UW-La Crosse,True,Graduate,True,2016,Students of Color,1388,3,3,$15K,11%,38%,531,$8M
SOC,2016-17,All Aid,UW-La Crosse,True,Undergraduate,True,2016,Students of Color,1006,1,1,$11K,11%,78%,785,$9M
Non-SOC,2016-17,All Aid,UW-La Crosse,True,Undergraduate,True,2016,Students of Color,9499,1,1,$9K,77%,70%,"6,659",$60M
SOC,2019-20,All Aid,UW-River Falls,True,Graduate,True,2019,Students of Color,49,3,3,$14K,1%,69%,34,$0M
Non-SOC,2019-20,All Aid,UW-River Falls,True,Graduate,True,2019,Students of Color,441,3,3,$12K,6%,49%,214,$3M
SOC,2019-20,All Aid,UW-River Falls,True,Undergraduate,True,2019,Students of Color,652,1,1,$10K,12%,80%,523,$5M
Non-SOC,2019-20,All Aid,UW-River Falls,True,Undergraduate,True,2019,Students of Color,5449,1,1,$9K,81%,73%,"3,985",$36M
SOC,2015-16,All Aid,UW-Milwaukee,True,Graduate,True,2015,Students of Color,939,3,3,$19K,4%,67%,627,$12M
Non-SOC,2015-16,All Aid,UW-Milwaukee,True,Graduate,True,2015,Students of Color,4845,3,3,$16K,14%,47%,"2,256",$36M
SOC,2015-16,All Aid,UW-Milwaukee,True,Undergraduate,True,2015,Students of Color,7205,1,1,$13K,28%,81%,"5,812",$74M
Non-SOC,2015-16,All Aid,UW-Milwaukee,True,Undergraduate,True,2015,Students of Color,18870,1,1,$12K,53%,63%,"11,959",$139M
SOC,2017-18,All Aid,UW-Platteville,True,Graduate,True,2017,Students of Color,249,3,3,$13K,3%,48%,119,$2M
Non-SOC,2017-18,All Aid,UW-Platteville,True,Graduate,True,2017,Students of Color,975,3,3,$11K,4%,21%,204,$2M
SOC,2017-18,All Aid,UW-Platteville,True,Undergraduate,True,2017,Students of Color,765,1,1,$12K,11%,73%,560,$7M
Non-SOC,2017-18,All Aid,UW-Platteville,True,Undergraduate,True,2017,Students of Color,7543,1,1,$9K,83%,68%,"5,159",$49M
SOC,2015-16,All Aid,UW-Parkside,True,Graduate,True,2015,Students of Color,34,3,3,$13K,1%,59%,20,$0M
Non-SOC,2015-16,All Aid,UW-Parkside,True,Graduate,True,2015,Students of Color,273,3,3,$9K,1%,18%,49,$0M
SOC,2015-16,All Aid,UW-Parkside,True,Undergraduate,True,2015,Students of Color,1447,1,1,$12K,35%,82%,"1,188",$14M
Non-SOC,2015-16,All Aid,UW-Parkside,True,Undergraduate,True,2015,Students of Color,3561,1,1,$9K,63%,73%,"2,605",$24M
SOC,2017-18,All Aid,UW-Stout,True,Graduate,True,2017,Students of Color,207,3,3,$13K,2%,49%,101,$1M
Non-SOC,2017-18,All Aid,UW-Stout,True,Graduate,True,2017,Students of Color,1654,3,3,$11K,9%,35%,580,$6M
SOC,2017-18,All Aid,UW-Stout,True,Undergraduate,True,2017,Students of Color,969,1,1,$12K,13%,82%,794,$10M
Non-SOC,2017-18,All Aid,UW-Stout,True,Undergraduate,True,2017,Students of Color,8098,1,1,$10K,76%,69%,"5,608",$55M
SOC,2018-19,All Aid,UW-Parkside,True,Graduate,True,2018,Students of Color,72,3,3,$13K,2%,57%,41,$1M
Non-SOC,2018-19,All Aid,UW-Parkside,True,Graduate,True,2018,Students of Color,288,3,3,$11K,4%,50%,144,$2M
SOC,2018-19,All Aid,UW-Parkside,True,Undergraduate,True,2018,Students of Color,1608,1,1,$11K,38%,80%,"1,290",$14M
Non-SOC,2018-19,All Aid,UW-Parkside,True,Undergraduate,True,2018,Students of Color,3110,1,1,$9K,56%,71%,"2,208",$20M
SOC,2015-16,All Aid,UW-Eau Claire,True,Graduate,True,2015,Students of Color,75,3,3,$12K,1%,55%,41,$0M
Non-SOC,2015-16,All Aid,UW-Eau Claire,True,Graduate,True,2015,Students of Color,751,3,3,$13K,4%,34%,258,$3M
SOC,2015-16,All Aid,UW-Eau Claire,True,Undergraduate,True,2015,Students of Color,1020,1,1,$12K,12%,76%,779,$9M
Non-SOC,2015-16,All Aid,UW-Eau Claire,True,Undergraduate,True,2015,Students of Color,9938,1,1,$9K,83%,71%,"7,041",$66M
SOC,2016-17,All Aid,UW-Eau Claire,True,Graduate,True,2016,Students of Color,75,3,3,$14K,1%,53%,40,$1M
Non-SOC,2016-17,All Aid,UW-Eau Claire,True,Graduate,True,2016,Students of Color,817,3,3,$13K,4%,32%,262,$3M
SOC,2016-17,All Aid,UW-Eau Claire,True,Undergraduate,True,2016,Students of Color,1058,1,1,$12K,13%,79%,836,$10M
Non-SOC,2016-17,All Aid,UW-Eau Claire,True,Undergraduate,True,2016,Students of Color,9892,1,1,$9K,82%,70%,"6,886",$64M
SOC,2019-20,All Aid,UW-La Crosse,True,Graduate,True,2019,Students of Color,123,3,3,$15K,2%,68%,84,$1M
Non-SOC,2019-20,All Aid,UW-La Crosse,True,Graduate,True,2019,Students of Color,1051,3,3,$14K,12%,59%,619,$9M
SOC,2019-20,All Aid,UW-La Crosse,True,Undergraduate,True,2019,Students of Color,1070,1,1,$11K,12%,75%,799,$9M
Non-SOC,2019-20,All Aid,UW-La Crosse,True,Undergraduate,True,2019,Students of Color,9286,1,1,$9K,75%,67%,"6,201",$56M
SOC,2015-16,All Aid,UW-Stout,True,Graduate,True,2015,Students of Color,173,3,3,$13K,1%,42%,73,$1M
Non-SOC,2015-16,All Aid,UW-Stout,True,Graduate,True,2015,Students of Color,1618,3,3,$11K,8%,33%,536,$6M
SOC,2015-16,All Aid,UW-Stout,True,Undergraduate,True,2015,Students of Color,909,1,1,$12K,12%,81%,733,$9M
Non-SOC,2015-16,All Aid,UW-Stout,True,Undergraduate,True,2015,Students of Color,8376,1,1,$10K,79%,69%,"5,812",$57M
SOC,2017-18,All Aid,UW-Superior,True,Graduate,True,2017,Students of Color,25,3,3,$18K,1%,72%,18,$0M
Non-SOC,2017-18,All Aid,UW-Superior,True,Graduate,True,2017,Students of Color,274,3,3,$12K,9%,67%,184,$2M
SOC,2017-18,All Aid,UW-Superior,True,Undergraduate,True,2017,Students of Color,306,1,1,$12K,12%,79%,242,$3M
Non-SOC,2017-18,All Aid,UW-Superior,True,Undergraduate,True,2017,Students of Color,2562,1,1,$10K,78%,76%,"1,938",$19M
SOC,2017-18,All Aid,UW-Eau Claire,True,Graduate,True,2017,Students of Color,85,3,3,$12K,1%,49%,42,$1M
Non-SOC,2017-18,All Aid,UW-Eau Claire,True,Graduate,True,2017,Students of Color,803,3,3,$13K,4%,33%,266,$3M
SOC,2017-18,All Aid,UW-Eau Claire,True,Undergraduate,True,2017,Students of Color,1091,1,1,$12K,13%,79%,862,$10M
Non-SOC,2017-18,All Aid,UW-Eau Claire,True,Undergraduate,True,2017,Students of Color,9811,1,1,$9K,82%,70%,"6,897",$64M
SOC,2016-17,All Aid,UW-Platteville,True,Graduate,True,2016,Students of Color,218,3,3,$12K,2%,53%,115,$1M
Non-SOC,2016-17,All Aid,UW-Platteville,True,Graduate,True,2016,Students of Color,1070,3,3,$11K,4%,20%,216,$2M
SOC,2016-17,All Aid,UW-Platteville,True,Undergraduate,True,2016,Students of Color,804,1,1,$12K,11%,71%,568,$7M
Non-SOC,2016-17,All Aid,UW-Platteville,True,Undergraduate,True,2016,Students of Color,7865,1,1,$9K,83%,69%,"5,400",$51M
SOC,2015-16,All Aid,UW-Superior,True,Graduate,True,2015,Students of Color,9,3,3,$18K,1%,78%,7,$0M
Non-SOC,2015-16,All Aid,UW-Superior,True,Graduate,True,2015,Students of Color,156,3,3,$14K,5%,57%,89,$1M
SOC,2015-16,All Aid,UW-Superior,True,Undergraduate,True,2015,Students of Color,314,1,1,$12K,13%,82%,258,$3M
Non-SOC,2015-16,All Aid,UW-Superior,True,Undergraduate,True,2015,Students of Color,2552,1,1,$10K,81%,76%,"1,932",$19M
SOC,2019-20,All Aid,UW-Stevens Point,True,Graduate,True,2019,Students of Color,54,3,3,$14K,1%,70%,38,$1M
Non-SOC,2019-20,All Aid,UW-Stevens Point,True,Graduate,True,2019,Students of Color,595,3,3,$12K,6%,53%,318,$4M
SOC,2019-20,All Aid,UW-Stevens Point,True,Undergraduate,True,2019,Students of Color,1088,1,1,$12K,16%,84%,916,$11M
Non-SOC,2019-20,All Aid,UW-Stevens Point,True,Undergraduate,True,2019,Students of Color,7720,1,1,$9K,77%,76%,"5,899",$52M
SOC,2016-17,All Aid,UW-Milwaukee,True,Graduate,True,2016,Students of Color,961,3,3,$19K,5%,71%,681,$13M
Non-SOC,2016-17,All Aid,UW-Milwaukee,True,Graduate,True,2016,Students of Color,4725,3,3,$16K,17%,59%,"2,767",$45M
SOC,2016-17,All Aid,UW-Milwaukee,True,Undergraduate,True,2016,Students of Color,7149,1,1,$13K,28%,79%,"5,676",$74M
Non-SOC,2016-17,All Aid,UW-Milwaukee,True,Undergraduate,True,2016,Students of Color,17726,1,1,$12K,50%,63%,"11,221",$130M
SOC,2019-20,All Aid,UW-Oshkosh,True,Graduate,True,2019,Students of Color,156,3,3,$15K,2%,56%,88,$1M
Non-SOC,2019-20,All Aid,UW-Oshkosh,True,Graduate,True,2019,Students of Color,1404,3,3,$15K,9%,33%,465,$7M
SOC,2019-20,All Aid,UW-Oshkosh,True,Undergraduate,True,2019,Students of Color,2573,1,1,$11K,21%,58%,"1,497",$17M
Non-SOC,2019-20,All Aid,UW-Oshkosh,True,Undergraduate,True,2019,Students of Color,14428,1,1,$9K,69%,41%,"5,884",$56M
SOC,2017-18,All Aid,UW-River Falls,True,Graduate,True,2017,Students of Color,58,3,3,$13K,1%,64%,37,$0M
Non-SOC,2017-18,All Aid,UW-River Falls,True,Graduate,True,2017,Students of Color,497,3,3,$12K,7%,55%,271,$3M
SOC,2017-18,All Aid,UW-River Falls,True,Undergraduate,True,2017,Students of Color,683,1,1,$10K,12%,80%,547,$6M
Non-SOC,2017-18,All Aid,UW-River Falls,True,Undergraduate,True,2017,Students of Color,5584,1,1,$9K,80%,74%,"4,134",$38M
SOC,2016-17,All Aid,UW-Oshkosh,True,Graduate,True,2016,Students of Color,145,3,3,$12K,1%,65%,94,$1M
Non-SOC,2016-17,All Aid,UW-Oshkosh,True,Graduate,True,2016,Students of Color,1948,3,3,$11K,7%,27%,517,$6M
SOC,2016-17,All Aid,UW-Oshkosh,True,Undergraduate,True,2016,Students of Color,1868,1,1,$12K,18%,68%,"1,263",$15M
Non-SOC,2016-17,All Aid,UW-Oshkosh,True,Undergraduate,True,2016,Students of Color,12253,1,1,$10K,74%,53%,"6,472",$65M
SOC,2015-16,All Aid,UW-Colleges (historical),True,Undergraduate,True,2015,Students of Color,3002,1,1,$7K,23%,49%,"1,466",$11M
Non-SOC,2015-16,All Aid,UW-Colleges (historical),True,Undergraduate,True,2015,Students of Color,14533,1,1,$6K,77%,40%,"5,742",$37M
SOC,2018-19,All Aid,UW-Superior,True,Graduate,True,2018,Students of Color,35,3,3,$12K,1%,83%,29,$0M
Non-SOC,2018-19,All Aid,UW-Superior,True,Graduate,True,2018,Students of Color,397,3,3,$11K,11%,62%,245,$3M
SOC,2018-19,All Aid,UW-Superior,True,Undergraduate,True,2018,Students of Color,296,1,1,$11K,10%,76%,225,$3M
Non-SOC,2018-19,All Aid,UW-Superior,True,Undergraduate,True,2018,Students of Color,2455,1,1,$10K,77%,77%,"1,880",$18M
SOC,2015-16,All Aid,UW-Green Bay,True,Graduate,True,2015,Students of Color,43,3,3,$20K,1%,56%,24,$0M
Non-SOC,2015-16,All Aid,UW-Green Bay,True,Graduate,True,2015,Students of Color,407,3,3,$13K,3%,25%,100,$1M
SOC,2015-16,All Aid,UW-Green Bay,True,Undergraduate,True,2015,Students of Color,939,1,1,$12K,17%,72%,680,$8M
Non-SOC,2015-16,All Aid,UW-Green Bay,True,Undergraduate,True,2015,Students of Color,6791,1,1,$10K,80%,59%,"3,981",$39M
SOC,2018-19,All Aid,UW-Milwaukee,True,Graduate,True,2018,Students of Color,1044,3,3,$19K,6%,73%,758,$14M
Non-SOC,2018-19,All Aid,UW-Milwaukee,True,Graduate,True,2018,Students of Color,4418,3,3,$16K,17%,62%,"2,734",$44M
SOC,2018-19,All Aid,UW-Milwaukee,True,Undergraduate,True,2018,Students of Color,7618,1,1,$12K,28%,75%,"5,717",$71M
Non-SOC,2018-19,All Aid,UW-Milwaukee,True,Undergraduate,True,2018,Students of Color,18937,1,1,$11K,49%,59%,"11,233",$123M
SOC,2015-16,All Aid,UW-River Falls,True,Graduate,True,2015,Students of Color,61,3,3,$13K,1%,66%,40,$1M
Non-SOC,2015-16,All Aid,UW-River Falls,True,Graduate,True,2015,Students of Color,569,3,3,$13K,8%,47%,270,$4M
SOC,2015-16,All Aid,UW-River Falls,True,Undergraduate,True,2015,Students of Color,597,1,1,$11K,12%,82%,487,$5M
Non-SOC,2015-16,All Aid,UW-River Falls,True,Undergraduate,True,2015,Students of Color,5545,1,1,$9K,79%,70%,"3,872",$36M
SOC,2015-16,All Aid,UW-Stevens Point,True,Graduate,True,2015,Students of Color,31,3,3,$20K,0%,19%,6,$0M
Non-SOC,2015-16,All Aid,UW-Stevens Point,True,Graduate,True,2015,Students of Color,597,3,3,$16K,2%,20%,117,$2M
SOC,2015-16,All Aid,UW-Stevens Point,True,Undergraduate,True,2015,Students of Color,1145,1,1,$12K,15%,83%,955,$12M
Non-SOC,2015-16,All Aid,UW-Stevens Point,True,Undergraduate,True,2015,Students of Color,8599,1,1,$10K,82%,73%,"6,249",$63M
SOC,2018-19,All Aid,UW-River Falls,True,Graduate,True,2018,Students of Color,72,3,3,$15K,1%,60%,43,$1M
Non-SOC,2018-19,All Aid,UW-River Falls,True,Graduate,True,2018,Students of Color,518,3,3,$12K,7%,51%,264,$3M
SOC,2018-19,All Aid,UW-River Falls,True,Undergraduate,True,2018,Students of Color,686,1,1,$10K,12%,80%,547,$5M
Non-SOC,2018-19,All Aid,UW-River Falls,True,Undergraduate,True,2018,Students of Color,5584,1,1,$9K,80%,73%,"4,094",$37M
SOC,2015-16,All Aid,UW-Oshkosh,True,Graduate,True,2015,Students of Color,139,3,3,$11K,1%,60%,83,$1M
Non-SOC,2015-16,All Aid,UW-Oshkosh,True,Graduate,True,2015,Students of Color,1865,3,3,$10K,6%,27%,496,$5M
SOC,2015-16,All Aid,UW-Oshkosh,True,Undergraduate,True,2015,Students of Color,1764,1,1,$12K,16%,69%,"1,213",$15M
Non-SOC,2015-16,All Aid,UW-Oshkosh,True,Undergraduate,True,2015,Students of Color,12545,1,1,$10K,77%,55%,"6,917",$68M
SOC,2019-20,All Aid,UW-Parkside,True,Graduate,True,2019,Students of Color,148,3,3,$15K,3%,52%,77,$1M
Non-SOC,2019-20,All Aid,UW-Parkside,True,Graduate,True,2019,Students of Color,533,3,3,$12K,8%,49%,261,$3M
SOC,2019-20,All Aid,UW-Parkside,True,Undergraduate,True,2019,Students of Color,1657,1,1,$11K,36%,77%,"1,284",$14M
Non-SOC,2019-20,All Aid,UW-Parkside,True,Undergraduate,True,2019,Students of Color,3022,1,1,$9K,53%,73%,"2,210",$20M
SOC,2017-18,All Aid,UW-Milwaukee,True,Graduate,True,2017,Students of Color,948,3,3,$19K,5%,73%,696,$13M
Non-SOC,2017-18,All Aid,UW-Milwaukee,True,Graduate,True,2017,Students of Color,4520,3,3,$16K,18%,62%,"2,795",$46M
SOC,2017-18,All Aid,UW-Milwaukee,True,Undergraduate,True,2017,Students of Color,7047,1,1,$13K,28%,79%,"5,577",$72M
Non-SOC,2017-18,All Aid,UW-Milwaukee,True,Undergraduate,True,2017,Students of Color,16901,1,1,$12K,49%,64%,"10,824",$125M
SOC,2016-17,All Aid,UW-Stevens Point,True,Graduate,True,2016,Students of Color,38,3,3,$13K,0%,26%,10,$0M
Non-SOC,2016-17,All Aid,UW-Stevens Point,True,Graduate,True,2016,Students of Color,573,3,3,$16K,3%,21%,118,$2M
SOC,2016-17,All Aid,UW-Stevens Point,True,Undergraduate,True,2016,Students of Color,1069,1,1,$13K,16%,84%,899,$12M
Non-SOC,2016-17,All Aid,UW-Stevens Point,True,Undergraduate,True,2016,Students of Color,8032,1,1,$10K,81%,72%,"5,767",$60M
SOC,2018-19,All Aid,UW-La Crosse,True,Graduate,True,2018,Students of Color,100,3,3,$16K,1%,62%,62,$1M
Non-SOC,2018-19,All Aid,UW-La Crosse,True,Graduate,True,2018,Students of Color,1007,3,3,$13K,11%,61%,618,$8M
SOC,2018-19,All Aid,UW-La Crosse,True,Undergraduate,True,2018,Students of Color,1001,1,1,$11K,12%,77%,774,$9M
Non-SOC,2018-19,All Aid,UW-La Crosse,True,Undergraduate,True,2018,Students of Color,9416,1,1,$9K,77%,68%,"6,442",$59M
SOC,2016-17,All Aid,UW-Parkside,True,Graduate,True,2016,Students of Color,39,3,3,$13K,1%,51%,20,$0M
Non-SOC,2016-17,All Aid,UW-Parkside,True,Graduate,True,2016,Students of Color,247,3,3,$8K,1%,23%,58,$0M
SOC,2016-17,All Aid,UW-Parkside,True,Undergraduate,True,2016,Students of Color,1549,1,1,$11K,38%,82%,"1,275",$14M
Non-SOC,2016-17,All Aid,UW-Parkside,True,Undergraduate,True,2016,Students of Color,3425,1,1,$9K,60%,72%,"2,456",$23M
SOC,2018-19,All Aid,UW-Eau Claire,True,Graduate,True,2018,Students of Color,95,3,3,$12K,1%,36%,34,$0M
Non-SOC,2018-19,All Aid,UW-Eau Claire,True,Graduate,True,2018,Students of Color,740,3,3,$13K,4%,36%,268,$3M
SOC,2018-19,All Aid,UW-Eau Claire,True,Undergraduate,True,2018,Students of Color,1261,1,1,$11K,14%,77%,977,$11M
Non-SOC,2018-19,All Aid,UW-Eau Claire,True,Undergraduate,True,2018,Students of Color,10531,1,1,$9K,81%,67%,"7,084",$64M
SOC,2019-20,All Aid,UW-Superior,True,Graduate,True,2019,Students of Color,38,3,3,$11K,1%,71%,27,$0M
Non-SOC,2019-20,All Aid,UW-Superior,True,Graduate,True,2019,Students of Color,444,3,3,$11K,13%,60%,267,$3M
SOC,2019-20,All Aid,UW-Superior,True,Undergraduate,True,2019,Students of Color,293,1,1,$11K,11%,78%,229,$3M
Non-SOC,2019-20,All Aid,UW-Superior,True,Undergraduate,True,2019,Students of Color,2395,1,1,$9K,75%,76%,"1,815",$17M
SOC,2016-17,All Aid,UW-Madison,True,Graduate,True,2016,Students of Color,1786,3,3,$22K,8%,85%,"1,524",$34M
Non-SOC,2016-17,All Aid,UW-Madison,True,Graduate,True,2016,Students of Color,10665,3,3,$20K,37%,78%,"8,301",$165M
SOC,2016-17,All Aid,UW-Madison,True,Undergraduate,True,2016,Students of Color,5561,1,1,$20K,17%,68%,"3,775",$77M
Non-SOC,2016-17,All Aid,UW-Madison,True,Undergraduate,True,2016,Students of Color,29141,1,1,$12K,38%,49%,"14,184",$171M
SOC,2016-17,All Aid,UW-Superior,True,Graduate,True,2016,Students of Color,17,3,3,$16K,1%,65%,11,$0M
Non-SOC,2016-17,All Aid,UW-Superior,True,Graduate,True,2016,Students of Color,173,3,3,$13K,6%,60%,104,$1M
SOC,2016-17,All Aid,UW-Superior,True,Undergraduate,True,2016,Students of Color,301,1,1,$13K,13%,79%,238,$3M
Non-SOC,2016-17,All Aid,UW-Superior,True,Undergraduate,True,2016,Students of Color,2552,1,1,$10K,81%,77%,"1,977",$19M
SOC,2015-16,All Aid,UW-Platteville,True,Graduate,True,2015,Students of Color,203,3,3,$13K,2%,42%,86,$1M
Non-SOC,2015-16,All Aid,UW-Platteville,True,Graduate,True,2015,Students of Color,1142,3,3,$12K,4%,21%,240,$3M
SOC,2015-16,All Aid,UW-Platteville,True,Undergraduate,True,2015,Students of Color,753,1,1,$12K,10%,73%,547,$6M
